,transaction_id,user_id,client_id,size,product_id,date,size_1_id,size_2_id,size_3_id,confidence_1,confidence_2,confidence_3,is_outlier,prediction_model,height,weight,waist,age,bra_band,bra_cup,user_action
0,763291506,a2621970-56ff-11ec-9dd5-979c6d624dd1,spacesuit & co.,XS,6448,2021-12-07,XS,2XS,S,0.36,0.49,0.59,False,space_suit,171,52.0,27.0,22.0,,,close_application
1,502592008,2d2b1b30-2323-11ec-b55b-39f63f4c9db6,spacesuit & co.,S,8115,2021-10-02,S,M,XS,0.2,0.31,0.48,False,space_suit,5’ 1”,120.0,,25.0,30.0,D,close_application
2,923812329,4045bb20-3481-11ec-9af0-0747274ae17e,spacesuit & co.,M,6656,2021-10-24,L,XL,M,0.12,0.43,0.44,False,space_suit,5’ 8”,180.0,38.0,18.0,,,close_application
3,541701008,59472e40-284e-11ec-a2f8-6935df7da089,spacesuit & co.,S,3472,2021-10-08,S,XS,M,0.09,0.28,0.36,False,space_suit,5’ 7”,125.0,,61.0,36.0,AA,close_application
4,749039784,5902a6f0-2dfb-11ec-b933-9f6944b25e45,spacesuit & co.,S,8115,2021-10-15,L,M,XL,0.07,0.35,0.59,False,space_suit,164,68.0,,28.0,70.0,C,close_application
5,521091471,9d4b3790-2f0f-11ec-b9fd-ad12eaebecc7,spacesuit & co.,XS,1520,2021-10-17,XS,S,2XS,0.06,0.26,0.38,False,space_suit,164,53.0,,24.0,70.0,B,got_recommendation
6,396318343,2693ccf0-3812-11ec-b8ca-e982a0de2662,spacesuit & co.,XL,5652,2021-10-28,XL,2XL,L,0.41,0.5,0.76,False,space_gloves,6’ 5”,250.0,44.0,45.0,,,close_application
7,176639476,c36aed20-2eac-11ec-8dd3-c95888bd97ce,spacesuit & co.,S,7787,2021-10-23,S,M,XS,0.26,0.28,0.48,False,space_suit,5’ 4”,130.0,,37.0,36.0,B,close_application
8,391957785,94246570-60f5-11ec-8941-cd1a256c2852,spacesuit & co.,S,5652,2021-12-19,S,M,XS,0.24,0.33,0.4,False,space_gloves,175,73.0,34.0,39.0,,,close_application
9,448967559,4cfdb210-6108-11ec-b659-9db182052c15,spacesuit & co.,2XL,6779,2021-12-19,XL,2XL,L,0.53,0.53,0.87,False,space_gloves,172,114.0,40.0,40.0,,,got_recommendation
10,805208642,5851bbd0-3993-11ec-b0e9-7599fe610614,spacesuit & co.,L,5420,2021-10-30,M,L,S,0.21,0.25,0.52,False,space_gloves,6’ 0”,195.0,34.0,46.0,,,close_application
11,836809105,e0700be0-3509-11ec-80c2-75b86daf2337,spacesuit & co.,M,6726,2021-10-24,M,L,S,0.09,0.33,0.49,False,space_suit,174,61.0,,45.0,80.0,D,got_recommendation
12,203459466,a5900c20-663a-11ec-8659-67d35544273e,spacesuit & co.,M,5975,2021-12-26,M,S,L,0.21,0.39,0.52,False,space_socks,165.1,65.0,,32.0,75.0,D,close_application
13,841895836,7d622960-4d6a-11ec-83fe-35d51c1ed603,spacesuit & co.,M,4838,2021-11-24,M,L,S,0.13,0.28,0.54,False,space_suit,176,70.0,,23.0,80.0,B,close_application
14,253444258,70bbf900-56d6-11ec-aa80-83a069acefbe,spacesuit & co.,L,8415,2021-12-06,XL,L,2XL,0.24,0.37,0.79,False,space_socks,168,80.0,,37.0,95.0,D,got_recommendation
15,420310741,17df89a0-54f1-11ec-a8ae-afb074cf30af,spacesuit & co.,XL,3986,2021-12-04,XL,L,2XL,0.32,0.35,0.81,False,space_underwear,190,110.0,34.0,23.0,,,got_recommendation
16,955439192,c026e8b0-5a7d-11ec-9fea-61d6cf560293,spacesuit & co.,2XL,8115,2021-12-11,2XL,XL,L,0.44,0.82,1.35,False,space_suit,165,90.0,,55.0,105.0,C,close_application
17,869022545,2c3c0230-2d95-11ec-8b61-3f1e5c9b94db,spacesuit & co.,L,2941,2021-10-15,L,XL,M,0.2,0.35,0.71,False,space_suit,5’ 11”,225.0,36.0,29.0,,,got_recommendation
18,273802950,d3ef3250-33f7-11ec-ab81-3f75fc1363c0,spacesuit & co.,M,2905,2021-10-23,M,L,S,0.32,0.51,0.54,False,space_suit,5’ 3”,142.0,,34.0,34.0,B,close_application
19,683707609,71be17e0-4c2f-11ec-b3bc-d57d97ee176c,spacesuit & co.,M,2941,2021-11-23,M,S,L,0.09,0.42,0.47,False,space_suit,156,83.0,32.0,18.0,,,got_recommendation
20,463845174,78a13520-4968-11ec-ac07-b926f36517bd,spacesuit & co.,M,1384,2021-11-19,S,M,XS,0.16,0.23,0.41,False,space_suit,175,80.0,32.0,17.0,,,close_application
21,811971863,e824aa40-4949-11ec-88f4-fb97b311af44,spacesuit & co.,L,6839,2021-11-19,M,L,S,0.27,0.5,0.53,False,space_suit,198,90.0,30.0,40.0,,,got_recommendation
22,824046292,7562bf70-252b-11ec-80ce-116de0fb4d0d,spacesuit & co.,2XL,6104,2021-10-04,XL,L,2XL,0.23,0.31,0.53,False,space_suit,6’ 2”,240.0,40.0,46.0,,,got_recommendation
23,696996592,a25daa30-1815-11ec-83cc-033393819ff2,spacesuit & co.,XL,5463,2021-10-14,L,M,XL,0.37,0.48,0.56,False,space_suit,6’ 4”,200.0,38.0,36.0,,,close_application
24,895130221,742b6240-61c3-11ec-92ac-e5d3cc123b81,spacesuit & co.,M,8415,2021-12-20,S,XS,M,0.18,0.23,0.49,False,space_socks,5’ 6”,110.0,,40.0,38.0,DD,got_recommendation
25,113959958,f94d5090-4b85-11ec-b98d-8b814a457eea,spacesuit & co.,S,6067,2021-11-22,S,M,XS,0.33,0.35,0.54,False,space_suit,149.86,52.0,,57.0,70.0,E,got_recommendation
26,429823430,cc5f6d50-1ff4-11ec-9217-97587b816fe6,spacesuit & co.,2XL,6448,2021-09-28,2XL,XL,L,0.28,0.76,1.26,False,space_suit,6’ 0”,240.0,42.0,65.0,,,close_application
27,405656794,3a137b30-4e9d-11ec-a04a-c9e44eb4cdd3,spacesuit & co.,S,8145,2021-11-26,S,M,XS,0.19,0.4,0.5,False,space_suit,166,57.0,,40.0,75.0,C,got_recommendation
28,840131608,57cfc010-30cb-11ec-8cf2-f1f2a2d58432,spacesuit & co.,S,5652,2021-10-20,S,XS,M,0.25,0.33,0.38,False,space_gloves,170,69.0,32.0,34.0,,,got_recommendation
29,836177055,0e2da9a0-29d1-11ec-b43c-cb9f0d7c8985,spacesuit & co.,S,6067,2021-10-10,S,XS,M,0.15,0.25,0.53,False,space_suit,5’ 3”,110.0,,18.0,32.0,B,got_recommendation
30,448383229,c0bf58c0-2472-11ec-9172-7d7876b5323f,spacesuit & co.,XL,6039,2021-10-03,XL,L,2XL,0.26,0.37,0.55,False,space_suit,6’ 3”,250.0,40.0,55.0,,,got_recommendation
31,573018062,3c7878f0-4a9a-11ec-9442-c921579d0e83,spacesuit & co.,L,2316,2021-11-21,L,M,XL,0.11,0.46,0.61,False,space_gloves,5’ 9”,167.0,,30.0,34.0,D,close_application
32,459678620,2ec60d70-4f8c-11ec-a11a-1f0acd97471c,spacesuit & co.,L,5142,2021-11-27,M,L,S,0.35,0.44,0.59,False,space_helmet,180,85.0,38.0,40.0,,,got_recommendation
33,310164452,d3330c40-1932-11ec-9c25-53d48e3965fd,spacesuit & co.,L,6312,2021-09-19,L,XL,M,0.15,0.48,0.59,False,space_suit,172,88.0,36.0,28.0,,,close_application
34,701400220,ca8c4b30-3451-11ec-9ffa-af46aa9d76bb,spacesuit & co.,M,7787,2021-10-23,M,L,S,0.15,0.37,0.4,False,space_suit,170,68.0,,33.0,70.0,E,got_recommendation
35,582702357,e71cbbb0-2bf3-11ec-94fa-41f0365c1857,spacesuit & co.,L,5652,2021-10-13,L,M,XL,0.17,0.29,0.64,False,space_gloves,182,93.0,34.0,30.0,,,close_application
36,645534546,df5454c0-3c32-11ec-b7da-dd02bb5a07b3,spacesuit & co.,L,6283,2021-11-02,M,S,L,0.11,0.22,0.56,False,space_gloves,5’ 10”,180.0,32.0,16.0,,,close_application
37,518859595,eafa6090-216a-11ec-b5bb-d5e4b3f6b37d,spacesuit & co.,M,6104,2021-09-29,M,S,L,0.3,0.42,0.6,False,space_suit,6’ 3”,180.0,34.0,23.0,,,close_application
38,144093786,600377f0-4718-11ec-9ae5-e55a42d441c7,spacesuit & co.,M,8008,2021-11-21,L,M,XL,0.2,0.25,0.66,False,space_helmet,172.72,72.0,,29.0,75.0,E,close_application
39,815993950,43252b40-366c-11ec-82fa-dd5ec383783d,spacesuit & co.,S,3893,2021-10-26,S,XS,M,0.44,0.5,0.72,False,space_underwear,4’ 11”,112.0,,17.0,36.0,DD,close_application
40,140885046,5a1162d0-34d5-11ec-8171-9362ae994102,spacesuit & co.,L,8115,2021-10-27,M,L,S,0.13,0.39,0.45,False,space_suit,5’ 6”,137.0,,22.0,34.0,C,got_recommendation
41,961172013,34021760-5adc-11ec-8f74-9b8cd6e7d112,spacesuit & co.,M,7061,2021-12-13,M,S,L,0.26,0.43,0.57,False,space_socks,163,63.0,,43.0,75.0,B,close_application
42,647621043,0adfc3f0-3552-11ec-889b-930469476bbc,spacesuit & co.,M,6104,2021-10-25,S,M,XS,0.08,0.29,0.45,False,space_suit,180,75.0,37.0,20.0,,,got_recommendation
43,697026794,7930dc70-2f05-11ec-b6c9-ff7cb6d80c7b,spacesuit & co.,S,3893,2021-10-17,S,XS,M,0.32,0.45,0.46,False,space_underwear,5’ 2”,121.0,,42.0,42.0,C,close_application
44,687010413,4c4185f0-33c1-11ec-a8b7-718387988828,spacesuit & co.,M,9565,2021-11-03,S,XS,M,0.42,0.52,0.58,False,space_suit,5’ 3”,153.0,32.0,15.0,,,got_recommendation
45,888283213,74f7d410-3f13-11ec-85e3-79b875dfb1d1,spacesuit & co.,M,7787,2021-11-06,M,S,L,0.11,0.38,0.4,False,space_suit,175,65.0,,43.0,90.0,B,got_recommendation
46,136253826,c212d740-3eff-11ec-9340-7d1d275d12c1,spacesuit & co.,M,7787,2021-11-06,L,M,XL,0.46,0.53,0.91,False,space_suit,157.,63.0,,40.0,90.0,D,got_recommendation
47,771068929,24dc7f40-17c1-11ec-90be-7d02ce7d6531,spacesuit & co.,M,8662,2021-09-17,M,S,L,0.17,0.36,0.53,False,space_underwear,5’ 9”,145.0,,38.0,34.0,B,close_application
48,523762447,20e33880-4dee-11ec-bcc0-57e26bab288b,spacesuit & co.,XS,1520,2021-11-25,XS,2XS,S,0.19,0.37,0.49,False,space_suit,5’ 1”,108.0,,20.0,32.0,B,got_recommendation
49,870564327,3f096cf0-2d62-11ec-bb24-d31e2ae661d6,spacesuit & co.,M,2941,2021-10-15,XS,S,2XS,0.17,0.18,0.52,False,space_suit,180,70.0,32.0,18.0,,,close_application
